h3_index,lsoa21cd,percentage_coverage
89195db4e73ffff,E01001412,0.66
89194ac018fffff,E01001072,4.36
89194e6107bffff,E01002305,3.4
89194ad7397ffff,E01000753,10.72
89194ad7397ffff,E01000813,0.18
89194adb143ffff,E01003847,1.45
89194adb143ffff,E01003851,2.69
89194adb143ffff,E01034044,29.17
89194adb143ffff,E01034046,13.73
89194adb143ffff,E01034043,26.3
89194e68bd3ffff,E01003495,5.39
89194e68bd3ffff,E01003527,34.29
89194e68bd3ffff,E01034204,15.94
89194e68bd3ffff,E01003526,4.43
89194e68bd3ffff,E01003525,9.19
89195da7187ffff,E01000276,7.27
89195da7187ffff,E01000275,9.18
89195da7187ffff,E01000283,8.09
89194e6e343ffff,E01002344,0.75
89194ad8d5bffff,E01003467,22.74
89194ad8d5bffff,E01003466,2.26
89194ad8d5bffff,E01003362,0.0
89194ad1203ffff,E01004534,12.15
89194ad1203ffff,E01004540,29.47
89194ad1203ffff,E01004579,16.67
89194ad1203ffff,E01004577,2.6
89194e60657ffff,E01002276,2.15
89194ac3517ffff,E01001010,12.17
89194ac3517ffff,E01001008,1.96
89194ac3517ffff,E01001006,0.8
89194e681afffff,E01003690,5.39
89194e681afffff,E01003788,1.02
89194e681afffff,E01003695,1.7
89194e681afffff,E01003692,32.03
89194ad2bc7ffff,E01000818,0.23
89194ad2bc7ffff,E01000816,0.83
89194ad2bc7ffff,E01003265,35.6
89194ad2bc7ffff,E01003264,2.93
89194ad2bc7ffff,E01003263,0.02
89195dae2bbffff,E01002149,5.38
89195dae2bbffff,E01002190,5.78
89194ad8337ffff,E01002957,37.59
89194ad8337ffff,E01002952,0.62
89194e69b73ffff,E01032785,8.41
89194e69b73ffff,E01004230,39.64
89194e69b73ffff,E01032786,1.51
89194e69b73ffff,E01004234,4.32
89195da437bffff,E01000553,0.61
89195da437bffff,E01000141,24.28
89195da437bffff,E01000142,1.83
89194ad21a3ffff,E01001651,3.4
89194ad21a3ffff,E01001650,35.21
89194ad21a3ffff,E01001595,2.86
89195dad897ffff,E01002414,0.0
89195dad897ffff,E01002511,2.41
89195dad897ffff,E01002509,19.57
89195d360c3ffff,E01002447,5.04
89194e6914fffff,E01004391,0.08
89194e6914fffff,E01034486,35.71
89194e6914fffff,E01004401,5.71
89195daf25bffff,E01002438,2.1
89194ad552bffff,E01000747,0.5
89194ad552bffff,E01000749,0.49
89194ad92d7ffff,E01002666,5.42
89194ad92d7ffff,E01002661,28.92
89194ac20cfffff,E01001044,6.44
89194ac20cfffff,E01001049,3.65
89194ac20cfffff,E01001046,7.71
89194e6ab13ffff,E01003737,7.09
89194e6ab13ffff,E01003716,8.92
89194e6ab13ffff,E01003719,4.15
89194e6ab13ffff,E01003713,14.93
89194e60bd3ffff,E01002385,0.95
89195db49cbffff,E01001512,5.32
89195db49cbffff,E01001518,15.05
89195dace73ffff,E01002422,0.32
89195dace73ffff,E01002424,25.49
89194e6c4d7ffff,E01002344,0.8
89195da531bffff,E01000539,17.72
